name, isStadtstaat, area, inhabitants, density, gdp, capital
Bayern, False, 70550.00, 13080000, 190, 716784, München
Nordrhein-Westfalen, False, 34110.26, 18139116, 532, 793790, Düsseldorf
Hessen, False, 21114.94, 6391360, 303, 323352, Frankfurt am Main
Sachsen, False, 18449.90, 4086152, 221, 146511, Dresden
Baden-Württemberg, False, 35751.46, 11280257, 316, 572837, Stuttgart
Thüringen, False, 16202.33, 2126846, 132, 71430, Erfurt
Niedersachsen, False, 47709.82, 8140242, 171, 339414, Hannover
Sachsen-Anhalt, False, 20451.58, 2186643, 107, 75436, Magdeburg
Rheinland-Pfalz, False, 19854.21, 4159150, 209, 171699, Mainz
Saarland, False, 2569.69, 992666, 386, 38505, Saarbrücken
Schleswig-Holstein, False, 15799.65, 2953270, 187, 112755, Kiel
Mecklenburg-Vorpommern, False, 23211.25, 1628378, 70, 53440, Schwerin
Brandenburg, False, 29654.16, 2573135, 87, 88800, Potsdam
Bremen, True, 419.38, 684864, 1633, 38698, Bremen
Berlin, True, 891.7, 3755251, 4210, 179379, Berlin
Hamburg, True, 755.09, 1892122, 2506, 144220, Hamburg
